name,sa2_name,postcode
Yarrara Flora and Fauna Reserve,Mildura Surrounds,3489.0
Macalister Gorge Natural Features and Scenic Reserve,Maffra,3825.0
Great Otway National Park,Lorne - Anglesea,3230.0
Koonwarra Fish Beds Geological Reserve,Leongatha,3823.0
Dandenong Valley Parklands,Wantirna South,
Maldon Bushland Reserve,Castlemaine Surrounds,3364.0
Otway Forest Park,Otway,3233.0
Curyo I188 Bushland Reserve,Buloke,3393.0
Miralie Bushland Reserve,Swan Hill Surrounds,3544.0
"Red Gum Swamp, Yanac Wildlife Reserve (no hunting)",Nhill Region,3414.0
Kororoit Creek Regional Park,Rockbank - Mount Cottrell,
Long Pockitt Bushland Reserve,Belgrave - Selby,
"Freshwater Swamp, Yarrock Wildlife Reserve (hunting)",Nhill Region,3414.0
Numurkah Natural Features Reserve,Numurkah,3635.0
Donald (Dollin) Swamp Wildlife Reserve (hunting),Horsham Surrounds,
Alexandra Court House Historic & Cultural Features Res.,Alexandra,3711.0
Yielima Bushland Reserve,Numurkah,3635.0
Maribyrnong Valley Parklands (COM),Keilor,
Cardinia Creek Parklands,Berwick - South East,3807.0
Concongella H8A Bushland Reserve,Stawell,3374.0
Kurth Kiln Regional Park,Emerald - Cockatoo,3781.0
Stokes River (1) Streamside Reserve,Glenelg (Vic.),3292.0
Stawell I13 Bushland Reserve,Stawell,3374.0
Pakenham G71 Bushland Reserve,Pakenham - North West,3809.0
Chiltern-Mt Pilot National Park,Wangaratta Surrounds,3677.0
Marengo Nature Conservation Reserve,Otway,3233.0
Skeleton Creek Streamside Reserve,Numurkah,3635.0
Carraragarmungee I10 Bushland Reserve,Wangaratta Surrounds,3677.0
Dunmunkle Bushland Reserve,Yarriambiack,3385.0
Leitches Creek Mineral Springs,Daylesford,3363.0
Wattle Park,Burwood (Vic.),
Eltham Bushland Reserve,Eltham,
Arcadia Nature Conservation Reserve,Shepparton Surrounds - East,3633.0
Pilchers Bridge Nature Conservation Reserve,Bendigo Surrounds - South,
Castlemaine Diggings National Heritage Park,Castlemaine,3450.0
Morep Dam Bushland Reserve,Yarriambiack,3385.0
Swan Bay Jetty,Point Lonsdale - Queenscliff,3225.0
Carrajung H23 Bushland Reserve,Yarram,3844.0
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Binginwarri H15 Bushland Reserve,Yarram,3844.0
Lake Burn Lake Reserve,Colac Surrounds,3241.0
Rocky Creek Highway Park,Wangaratta Surrounds,3677.0
Glenrowan I69 Bushland Reserve,Wangaratta Surrounds,3677.0
Koetong to Shelley Rail Trail,Towong,3700.0
Darkbonee I50 Bushland Reserve,St Arnaud,3465.0
Elmore-Cohuna rail line Bushland Reserve,Bendigo Surrounds - North,3556.0
Landsborough West School Historic Reserve,Stawell,3374.0
Otway Forest Park,Otway,3233.0
Plenty Gorge Parklands,South Morang - South,3752.0
Tunstalls Nature Conservation Reserve,Maryborough Surrounds,3370.0
Goldsborough Historic & Cultural Features Res.,Maryborough Surrounds,3370.0
Dropmore G46 Bushland Reserve,Yea,3660.0
Lake Terang Lake Reserve,Corangamite - North,3251.0
Lorquon I64 Bushland Reserve,Nhill Region,3414.0
Wargan-Mallee Bushland Reserve,Mildura Surrounds,3489.0
Great Otway National Park,Otway,3233.0
Corop Wildlife Reserve (hunting),Rushworth,3523.0
Annuello Bushland Reserve,Swan Hill Surrounds,3544.0
Proposed Murray River Park (part),Rutherglen,3687.0
Gembrook G67 Bushland Reserve,Emerald - Cockatoo,3781.0
Majorca Historic & Cultural Features Res.,Maryborough Surrounds,3370.0
Corryong Creek K34 Streamside Reserve,Towong,3700.0
Proposed Murray River Park (part),Swan Hill Surrounds,3544.0
Port Campbell National Park,Corangamite - South,3260.0
Great Otway National Park,Lorne - Anglesea,3230.0
Otway Forest Park,Otway,3233.0
Port Campbell Parks Victoria Depot,Corangamite - South,3260.0
Yea railway station Historic & Cultural Features Res.,Yea,3660.0
Chiltern-Mt Pilot National Park,Beechworth,3747.0
Croajingolong National Park,Orbost,3885.0
Dandenong Ranges National Park,Mount Dandenong - Olinda,3154.0
Bunyip G13 Streamside Reserve,Bunyip - Garfield,3813.0
Brisbane Ranges National Park,Golden Plains - South,3328.0
Flinders Jetty,Flinders,3916.0
Coonooer East I158 Bushland Reserve,Buloke,3393.0
Myall B.R. 2 Bushland Reserve,Gannawarra,3527.0
Swan Reach Bay Gippsland Lakes Reserve,Bruthen - Omeo,3699.0
Upper Beaconsfield Nature Conservation Reserve,Beaconsfield - Officer,3808.0
Lake Curlip Wildlife Reserve (hunting),Orbost,3885.0
Big Tottington Nature Conservation Reserve,St Arnaud,3465.0
French Island National Park,French Island,3921.0
Bendigo Regional Park,California Gully - Eaglehawk,
Great Otway National Park,Winchelsea,3240.0
Berringama Bushland Reserve,Towong,3700.0
Geelong Telegraph Station Historic Reserve,Geelong,
Lake Curlip Wildlife Reserve (hunting),Orbost,3885.0
Echuca Historic & Cultural Features Res.,Echuca,
Picaninny Creek Streamside Reserve,Bendigo Surrounds - North,3556.0
Kooyoora State Park,Loddon,3463.0
Otway Forest Park,Otway,3233.0
Smythesdale H16 Bushland Reserve,Golden Plains - North,3360.0
Tresco West Bushland Reserve,Swan Hill Surrounds,3544.0
Otway Forest Park,Colac Surrounds,3241.0
Proposed Murray River Park (part),Numurkah,3635.0
Charlton West I148 Bushland Reserve,Buloke,3393.0
Castlemaine Diggings National Heritage Park,Castlemaine,3450.0
Wimmera River Heritage Area Park,Horsham Surrounds,
Yanac Swamp Wildlife Reserve (hunting),Nhill Region,3414.0
Cowes Jetty,Phillip Island,3922.0
Retreat Creek Streamside Reserve,Winchelsea,3240.0
Corindhap Nature Conservation Reserve,Golden Plains - South,3328.0
Broken-Boosey State Park,Numurkah,3635.0
St Georges Lake Flora Reserve,Creswick - Clunes,
Nunniong Plain Natural Features and Scenic Reserve,Alps - East,3707.0
Otway Forest Park,Otway,3233.0
River Murray Reserve (non-PV),Towong,3700.0
Jess Bushland Reserve,Stawell,3374.0
Daahl Bushland Reserve,Horsham Surrounds,
Wargan-Mallee Bushland Reserve,Merbein,
Lower Maribyrnong Parklands,Footscray,
Apsley Bushland Reserve,West Wimmera,3318.0
Amherst H61 Bushland Reserve,Maryborough Surrounds,3370.0
Healesville Sanctuary,Healesville - Yarra Glen,3775.0
Peechelba - Wangaratta rail line Bushland Reserve,Wangaratta Surrounds,3677.0
Kooyoora State Park,Loddon,3463.0
Howells Hill Scenic Reserve,Buloke,3393.0
Bellarine I110 Bushland Reserve,Clifton Springs,
Walhalla Historic Area,Mount Baw Baw Region,3831.0
Pakenham G71 Bushland Reserve,Pakenham - North West,3809.0
Carapooee I46 Bushland Reserve,St Arnaud,3465.0
Great Otway National Park,Otway,3233.0
Jacka Lake & lakes to north Wildlife Reserve (hunting),Horsham Surrounds,
Bald Hills Creek Wildlife Reserve (no hunting),Foster,3957.0
Franklinford Streamside Reserve,Daylesford,3363.0
Balnarring Beach Foreshore Reserve,Hastings - Somers,3915.0
Merrinee Bushland Reserve,Mildura Surrounds,3489.0
Wandong Regional Park,Wallan,3658.0
Inglewood Bushland Reserve,Loddon,3463.0
One Tree Swamp and Two Tree Swamp Nature Conservation Reserve,Rushworth,3523.0
Cobon Nature Conservation Reserve,Orbost,3885.0
Minimay I12 Bushland Reserve,West Wimmera,3318.0
Hopkins Tank Bushland Reserve,Mildura Surrounds,3489.0
Broken River K13 Streamside Reserve,Benalla Surrounds,3670.0
Creswick-Broomfield Rail Line Nature Conservation Reserve,Creswick - Clunes,
Jack Smith Lake Wildlife Reserve (hunting),Yarram,3844.0
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Tarra-Bulga National Park,Yarram,3844.0
Lake Corringle Wildlife Reserve (hunting),Orbost,3885.0
Solomon Gully Nature Conservation Reserve,Flora Hill - Spring Gully,
Casterton Court House Historic Reserve,Glenelg (Vic.),3292.0
Mount Napier State Park,Southern Grampians,3294.0
Woodlands Historic Park,Greenvale - Bulla,3059.0
Smiths Gully G150 Bushland Reserve,Panton Hill - St Andrews,3099.0
Bryan Swamp Wildlife Reserve (hunting),Southern Grampians,3294.0
Phillip Island Coastal Reserve,Phillip Island,3922.0
Western Port Intertidal Coastal Reserve,Pearcedale - Tooradin,3980.0
Alexandra G55 Bushland Reserve,Alexandra,3711.0
Landsborough North Bushland Reserve,Avoca,3467.0
Phillip Island Nature Park,Phillip Island,3922.0
Point Addis Marine National Park,Torquay,3228.0
Enfield State Park,Golden Plains - North,3360.0
Grampians National Park,Stawell,3374.0
Bellevue Tank Bushland Reserve,Buloke,3393.0
Devils Kitchen Geological Reserve,Golden Plains - North,3360.0
Beechworth Historic Park,Beechworth,3747.0
Peechelba H104 Bushland Reserve,Wangaratta Surrounds,3677.0
Werrap I170 Bushland Reserve,Nhill Region,3414.0
Greater Bendigo National Park,Bendigo Surrounds - North,3556.0
Boinka Flora Reserve,Mildura Surrounds,3489.0
Cocamba Bushland Reserve,Swan Hill Surrounds,3544.0
Tunnel Creek Natural Features Reserve,Romsey,3432.0
Patho Plains Railway Nature Conservation Reserve,Lockington - Gunbower,3562.0
Rushworth - Colbinabbin rail line (VicTrack) Bushland Reserve,Rushworth,3523.0
Mount Wills Historic Area,Bruthen - Omeo,3699.0
Bendigo Regional Park,Flora Hill - Spring Gully,
Boonderoo Nature Conservation Reserve,Golden Plains - South,3328.0
Echuca South Bushland Reserve,Rochester,3561.0
Castlemaine Diggings National Heritage Park,Daylesford,3363.0
Tutchewop Wildlife Reserve (hunting),Gannawarra,3527.0
Green Swamp Wildlife Reserve (hunting),Nhill Region,3414.0
Cobboboonee Forest Park,Glenelg (Vic.),3292.0
Edna Bowman Nature Conservation Reserve,Lorne - Anglesea,3230.0
Annuello Bushland Reserve,Swan Hill Surrounds,3544.0
Pyrenees National Park (Proposed),Avoca,3467.0
Dandenong Ranges National Park,Mount Dandenong - Olinda,3154.0
River Murray Reserve,Swan Hill Surrounds,3544.0
Yaapeet Bushland Reserve,Yarriambiack,3385.0
Mount Sugarloaf Nature Conservation Reserve,Heathcote,
Beauchamp Bushland Reserve,Gannawarra,3527.0
Lilliput H118 Bushland Reserve,Rutherglen,3687.0
Bulgana Bushland Reserve,Stawell,3374.0
Greater Bendigo National Park,Bendigo Surrounds - North,3556.0
Lillimur South Bushland Reserve,Nhill Region,3414.0
Wyndham Streamside Reserve,Yea,3660.0
Tunnel Hill north Bushland Reserve,Maryborough Surrounds,3370.0
Yarrara Flora and Fauna Reserve,Mildura Surrounds,3489.0
Steiglitz Historic Park,Golden Plains - South,3328.0
Proposed Murray River Park (part),Echuca,
Ding-a-ding Wildlife Reserve (hunting),West Wimmera,3318.0
Ouyen I34 Bushland Reserve,Mildura Surrounds,3489.0
"Tarago River, Robin Hood Streamside Reserve",Drouin,
Crochan Bushland Reserve,Ararat Surrounds,3373.0
Wychitella Nature Conservation Reserve,Loddon,3463.0
Holey Plains State Park,Longford - Loch Sport,3852.0
Nathalia Natural Features Reserve,Numurkah,3635.0
School Swamp Wildlife Reserve (hunting),West Wimmera,3318.0
Wychitella Nature Conservation Reserve,Loddon,3463.0
Warrandyte State Park,Warrandyte - Wonga Park,3111.0
Yangery C.R. Coastal Reserve,Moyne - West,3275.0
Woorak I58 Bushland Reserve,Nhill Region,3414.0
Holey Plains State Park,Longford - Loch Sport,3852.0
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Greater Bendigo National Park,Flora Hill - Spring Gully,
Turtons Creek Scenic Reserve,Foster,3957.0
Middleton Hill Bushland Reserve,Daylesford,3363.0
Tarra-Bulga National Park,Churchill,3842.0
Creswick Regional Park,Creswick - Clunes,
Werrimull Bushland Reserve,Mildura Surrounds,3489.0
Wannon River (2) Streamside Reserve,Glenelg (Vic.),3292.0
Otway Forest Park,Otway,3233.0
Port Campbell National Park,Corangamite - South,3260.0
Cobaw Bushland Reserve,Kyneton,3446.0
Crib Point G228 Bushland Reserve,Hastings - Somers,3915.0
North Magdala Company mine Historic & Cultural Features Res.,Stawell,3374.0
Grant Historic Area,Alps - West,3723.0
Maroondah Aqueduct Tunnel Bushland Reserve,Healesville - Yarra Glen,3775.0
Noorongong Bushland Reserve,Towong,3700.0
Jones Bay Gippsland Lakes Reserve,Lake King,3882.0
Walpeup I101 Bushland Reserve,Mildura Surrounds,3489.0
Narrawong Coastal Reserve,Glenelg (Vic.),3292.0
Numurkah Natural Features Reserve,Numurkah,3635.0
Gadsen Bend Park,Robinvale,
Piangil - Yungera Railway Bushland Reserve,Swan Hill Surrounds,3544.0
Yarraby Flora Reserve,Swan Hill Surrounds,3544.0
Giffard (Rifle Range) Flora Reserve,Yarram,3844.0
Strathfieldsaye I160 Bushland Reserve,Strathfieldsaye,
Waratah Bay - Shallow Inlet Coastal Reserve,Foster,3957.0
Clydebank Morass Wildlife Reserve (hunting),Longford - Loch Sport,3852.0
Gippsland Lakes Coastal Park,Longford - Loch Sport,3852.0
Miga Lake Lake Reserve,West Wimmera,3318.0
Surface Hill Historic Reserve,Golden Plains - North,3360.0
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Kororoit Creek Regional Park,Rockbank - Mount Cottrell,
Allambee East G91 Bushland Reserve,Trafalgar (Vic.),3824.0
Yea G125 Bushland Reserve,Yea,3660.0
Lake Kennedy Wildlife Reserve (hunting),Southern Grampians,3294.0
Portsea Pier,Point Nepean,3941.0
Broken-Boosey State Park,Numurkah,3635.0
Bendigo Regional Park,Bendigo Surrounds - North,3556.0
Kangaroo Dam Bushland Reserve,Swan Hill Surrounds,3544.0
Grampians National Park,Ararat Surrounds,3373.0
Molesworth Bushland Reserve,Alexandra,3711.0
River Murray Reserve,Rutherglen,3687.0
Woodfield trestle bridge Historic & Cultural Features Res.,Mansfield (Vic.),3713.0
Walhalla Historic Area,Mount Baw Baw Region,3831.0
Terrick Terrick National Park,Lockington - Gunbower,3562.0
Hopkins Tank Bushland Reserve,Mildura Surrounds,3489.0
Yallock-Bulluk Marine & Coastal Park,Wonthaggi - Inverloch,3925.0
Nullan I106 Bushland Reserve,Yarriambiack,3385.0
Glenelg River (5) Streamside Reserve,Glenelg (Vic.),3292.0
Yarrawonga Regional Park,Yarrawonga,3730.0
Brisbane Ranges National Park,Golden Plains - South,3328.0
Bendigo Regional Park,White Hills - Ascot,3550.0
Bunyip State Park,Emerald - Cockatoo,3781.0
Waanyarra Nature Conservation Reserve,Loddon,3463.0
Shingle Hill Highway Park,Buloke,3393.0
Skeleton Creek Streamside Reserve,Numurkah,3635.0
Bannerton Flora and Fauna Reserve,Swan Hill Surrounds,3544.0
Linga Bushland Reserve,Mildura Surrounds,3489.0
Crossover Regional Park,Mount Baw Baw Region,3831.0
Connewirrecoo I32 Bushland Reserve,West Wimmera,3318.0
Woodfield trestle bridge Historic & Cultural Features Res.,Mansfield (Vic.),3713.0
Nillumbik G138 Bushland Reserve,Research - North Warrandyte,3095.0
Albert Park,St Kilda - West,3004.0
Lower Maribyrnong Parklands,Niddrie - Essendon West,3040.0
Avon - Mt Hedrick Natural Features and Scenic Reserve,Maffra,3825.0
Lake Curlip Wildlife Reserve (hunting),Orbost,3885.0
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Lake Moodemere Lake Reserve,Rutherglen,3687.0
Dandenong Ranges National Park,Mount Dandenong - Olinda,3154.0
Dandenong Ranges National Park,The Basin,
Larundel I268 Bushland Reserve,Swan Hill Surrounds,3544.0
Yarra Bend Park,Kew - West,3101.0
Marong H71 Bushland Reserve,Bendigo Surrounds - North,3556.0
Tooborac I167 Bushland Reserve,Seymour Surrounds,3444.0
Warragul Bushland Reserve,Trafalgar (Vic.),3824.0
Murray - Kulkyne Park,Mildura Surrounds,3489.0
Otway Forest Park,Winchelsea,3240.0
Waanyarra Nature Conservation Reserve,Loddon,3463.0
Belfast C.R. Coastal Reserve,Moyne - West,3275.0
Foresters Spring Bushland Reserve,Nhill Region,3414.0
Grampians National Park,Stawell,3374.0
Kinglake National Park,Kinglake,
Cundare Pool (Lake Martin) Lake Reserve,Corangamite - North,3251.0
Lake Boort Wildlife Reserve (hunting),Loddon,3463.0
Wychitella North Nature Conservation Reserve,Loddon,3463.0
Baring North I111 Bushland Reserve,Mildura Surrounds,3489.0
Anderson Inlet Coastal Reserve,Wonthaggi - Inverloch,3925.0
Underbool I87 Bushland Reserve,Mildura Surrounds,3489.0
Waanyarra Nature Conservation Reserve,Loddon,3463.0
Wilsons Promontory National Park,Wilsons Promontory,3960.0
Colquhoun Regional Park,Lakes Entrance,3903.0
Nandaly Bushland Reserve,Buloke,3393.0
Plenty Gorge Parklands,South Morang - South,3752.0
Gannawarra Red Gum Swamp Nature Conservation Reserve,Gannawarra,3527.0
Great Otway National Park,Lorne - Anglesea,3230.0
Plenty Gorge Parklands,Plenty - Yarrambat,3088.0
Proposed Murray River Park (part),Moira,3649.0
Yarrangook Flora and Fauna Reserve,Nhill Region,3414.0
Nooramunga Marine & Coastal Park,Yarram,3844.0
Archdale Streamside Reserve,St Arnaud,3465.0
Mount Wills Historic Area,Bruthen - Omeo,3699.0
Dartmoor Bushland Reserve,Glenelg (Vic.),3292.0
Janevale Monier Bridge Historic & Cultural Features Res.,Loddon,3463.0
Yarrangook Flora and Fauna Reserve,Nhill Region,3414.0
Red Cliffs (Ovens Av) Natural Features Reserve,Red Cliffs,3496.0
Yarra Valley Parklands,Eltham,
Hedditch Hill Scenic Reserve,Glenelg (Vic.),3292.0
Bahgallah Bushland Reserve,Glenelg (Vic.),3292.0
Waranga H116 Bushland Reserve,Rushworth,3523.0
Major Mitchell Lagoon Historic Reserve,Swan Hill Surrounds,3544.0
Kia I31 Bushland Reserve,Mildura Surrounds,3489.0
Grampians National Park,Stawell,3374.0
Apsley Bushland Reserve,West Wimmera,3318.0
Kurth Kiln Regional Park,Yarra Valley,3139.0
Lake Eildon NP (VPC addition),Mansfield (Vic.),3713.0
The Arches Marine Sanctuary,Corangamite - South,3260.0
Murrayville Bushland Reserve,Mildura Surrounds,3489.0
Proposed Murray River Park (part 2) COM,Swan Hill Surrounds,3544.0
Bungalally I49 Bushland Reserve,Horsham Surrounds,
Terrick Terrick National Park,Loddon,3463.0
Bridal Hill Bushland Reserve,Ararat,
Wattle Point Gippsland Lakes Reserve,Paynesville,3875.0
Chiltern-Mt Pilot National Park,Chiltern - Indigo Valley,3683.0
Wehla Nature Conservation Reserve,Loddon,3463.0
Langley I12 Bushland Reserve,Kyneton,3446.0
Greater Bendigo National Park,Kangaroo Flat - Golden Square,3555.0
Arthurs Seat State Park,Rosebud - McCrae,3938.0
Point Danger Marine Sanctuary,Torquay,3228.0
Steiglitz Historic Park,Golden Plains - South,3328.0
Mansfield Swamp Wildlife Reserve (hunting),Rushworth,3523.0
Tallageira Nature Conservation Reserve,West Wimmera,3318.0
Broken-Boosey State Park,Moira,3649.0
Selby G190 Bushland Reserve,Belgrave - Selby,
Dabyminga Creek Bushland Reserve,Kilmore - Broadford,
Western Port Coastal Reserve (COM),Pearcedale - Tooradin,3980.0
McLeans Bushland Reserve,Mildura Surrounds,3489.0
Bumbang I264 Bushland Reserve,Robinvale,
Little Desert National Park,West Wimmera,3318.0
River Murray Reserve,Numurkah,3635.0
Leichardt Nature Conservation Reserve,Bendigo Surrounds - South,
Echuca West Bushland Reserve,Lockington - Gunbower,3562.0
Adams Creek Nature Conservation Reserve,Korumburra,3946.0
Hilldene H74 Bushland Reserve,Castlemaine Surrounds,3364.0
Rhymney Reef Bushland Reserve,Ararat Surrounds,3373.0
Bendigo Regional Park,Bendigo Surrounds - South,
Port Phillip Bay Coastal Reserve (COM),Mount Martha,3934.0
Shelbourne Bushland Reserve,Bendigo Surrounds - South,
Proposed Murray River Park (part),Mildura - North,
Yarrara Flora and Fauna Reserve,Mildura Surrounds,3489.0
Bolton Bushland Reserve,Swan Hill Surrounds,3544.0
Lawloit Range Highway Park,Nhill Region,3414.0
Pirianda Gardens,Mount Dandenong - Olinda,3154.0
Broken River K12 Streamside Reserve,Benalla,3672.0
Tarra Tarra Bushland Reserve,Yarram,3844.0
Bendigo Regional Park,California Gully - Eaglehawk,
Annuello Bushland Reserve,Swan Hill Surrounds,3544.0
Melbourne Strategic Assessment Reserve,Mickleham - Yuroke,3063.0
Glenpatrick Bushland Reserve,Avoca,3467.0
Spring Gully Bushland Reserve,Flora Hill - Spring Gully,
Great Otway National Park,Corangamite - South,3260.0
Dopewora I8 Bushland Reserve,West Wimmera,3318.0
Proposed Murray River Park (part),Echuca,
Mansfield Swamp Wildlife Reserve (hunting),Rushworth,3523.0
French Island National Park,French Island,3921.0
Steavensons Falls Natural Features and Scenic Reserve,Alexandra,3711.0
Grant Historic Area,Alps - West,3723.0
Chiltern-Mt Pilot National Park,Chiltern - Indigo Valley,3683.0
Great Otway National Park,Otway,3233.0
Dederang Streamside Reserve,Bright - Mount Beauty,3697.0
Toolondo Bushland Reserve,Horsham Surrounds,
Avoca Police Residence & Magazine Historic Reserve,Avoca,3467.0
Merrinee Bushland Reserve,Mildura Surrounds,3489.0
Barwon Downs Bushland Reserve,Colac Surrounds,3241.0
Tullyvea Bushland Reserve,Nhill Region,3414.0
Charlton West I150 Bushland Reserve,Buloke,3393.0
Lower Homebush Bushland Reserve,Avoca,3467.0
McCausland Swamp Wildlife Reserve (hunting),West Wimmera,3318.0
Wymlet I20 Bushland Reserve,Mildura Surrounds,3489.0
Narrawong Coastal Reserve,Glenelg (Vic.),3292.0
Bendigo Regional Park,Bendigo Surrounds - North,3556.0
Shelbourne Nature Conservation Reserve,Bendigo Surrounds - South,
Proposed Murray River Park (part 2) COM,Mildura - North,
Timberoo Flora and Fauna Reserve,Mildura Surrounds,3489.0
Lake Burrumbeet Lake Reserve,Beaufort,3468.0
Gunyah Rainforest Scenic Reserve,Churchill,3842.0
Nurmurkah - Picola rail line Bushland Reserve,Numurkah,3635.0
Great Otway National Park,Otway,3233.0
Grampians National Park,Ararat Surrounds,3373.0
Walpeup Flora and Fauna Reserve,Mildura Surrounds,3489.0
Grampians National Park,Ararat Surrounds,3373.0
Metcalfe I164 Bushland Reserve,Castlemaine Surrounds,3364.0
Kinglake G134 Bushland Reserve,Kinglake,
Phillip Island Nature Park,Phillip Island,3922.0
White Hills H91 Bushland Reserve,White Hills - Ascot,3550.0
Kinimakatka I52 Bushland Reserve,Nhill Region,3414.0
Corack East I140 Bushland Reserve,Buloke,3393.0
Mount Meg Nature Conservation Reserve,Benalla Surrounds,3670.0
Talbot Nature Conservation Reserve,Maryborough Surrounds,3370.0
Sugarloaf Bushland Reserve,Ararat Surrounds,3373.0
Peechelba H105 Bushland Reserve,Moira,3649.0
Murray - Sunset National Park,Mildura Surrounds,3489.0
Koorangie Wildlife Reserve (hunting),Gannawarra,3527.0
Ondit N43 Lake Reserve,Colac Surrounds,3241.0
Port Campbell National Park,Corangamite - South,3260.0
Woodfield trestle bridge Historic & Cultural Features Res.,Mansfield (Vic.),3713.0
Kara Kara National Park,Avoca,3467.0
Mount Majestic Bushland Reserve,Emerald - Cockatoo,3781.0
Seal Islands Wildlife Reserve (no hunting),Wilsons Promontory,3960.0
Illawarra Nature Conservation Reserve,Stawell,3374.0
Werribee Gorge State Park,Bacchus Marsh Surrounds,
Lower Yarra River land,Abbotsford,
Echuca Historic & Cultural Features Res.,Echuca,
Mount Wills Historic Area,Bruthen - Omeo,3699.0
Howqua G120 Bushland Reserve,Mansfield (Vic.),3713.0
Cobbledicks Streamside Reserve,Tarneit (West) - Mount Cottrell,
Gerang Gerung (north) Flora Reserve,Nhill Region,3414.0
Yallamatta Swamp Wildlife Reserve (no hunting),West Wimmera,3318.0
Mittyack Bushland Reserve,Mildura Surrounds,3489.0
Greater Bendigo National Park,Bendigo Surrounds - North,3556.0
Dergholm State Park,West Wimmera,3318.0
Dandenong Valley Parklands (COM),Glen Waverley - East,
Green Swamp Wildlife Reserve (hunting),Nhill Region,3414.0
Beveridge Recreation Reserve,Wallan,3658.0
Woolenook I9 Bushland Reserve,Maffra,3825.0
Kodoonong Bushland Reserve,Swan Hill Surrounds,3544.0
Maldon Historic Reserve,Castlemaine Surrounds,3364.0
Ellesmere Bushland Reserve,Bendigo Surrounds - North,3556.0
Great Otway National Park,Otway,3233.0
Jacka Lake & lakes to north Wildlife Reserve (hunting),Horsham Surrounds,
Peechember Swamp Wildlife Reserve (hunting),Nhill Region,3414.0
Mysia H47 Bushland Reserve,Loddon,3463.0
Maryborough Regional Park,Maryborough Surrounds,3370.0
Croajingolong National Park,Orbost,3885.0
Ouyen I34 Bushland Reserve,Mildura Surrounds,3489.0
Ombersley Streamside Reserve,Colac Surrounds,3241.0
Waurn Swamp Wildlife Reserve (no hunting),West Wimmera,3318.0
Black Swamp (Black Dog Creek) Wildlife Reserve (hunting),Wangaratta Surrounds,3677.0
Cobrico Swamp Wildlife Reserve (hunting),Corangamite - South,3260.0
Lake Lalbert Wildlife Reserve (hunting),Gannawarra,3527.0
Great Otway National Park,Otway,3233.0
Ararat Regional Park,Ararat Surrounds,3373.0
Phillip Island Nature Park,Phillip Island,3922.0
Baxter Island Gippsland Lakes Reserve,Lakes Entrance,3903.0
Axedale Nature Conservation Reserve,Heathcote,
Mount Wills Historic Area,Bruthen - Omeo,3699.0
Frankston Nature Conservation Reserve,Frankston South,
Great Otway National Park,Lorne - Anglesea,3230.0
Bruthen Creek Streamside Reserve,Yarram,3844.0
Coradjil Bushland Reserve,Corangamite - South,3260.0
Yarra Valley Parklands,Eltham,
Cowangie Bushland Reserve,Mildura Surrounds,3489.0
Woorinen South Bushland Reserve,Swan Hill Surrounds,3544.0
Coalville G218 Bushland Reserve,Trafalgar (Vic.),3824.0
Lake Gnarpurt Reserve,Corangamite - North,3251.0
Ovens River K16 Streamside Reserve,Wangaratta Surrounds,3677.0
Woorragee North I18 Bushland Reserve,Chiltern - Indigo Valley,3683.0
Broadford G111 Bushland Reserve,Kilmore - Broadford,
Bunyip State Park,Emerald - Cockatoo,3781.0
Box Flat Bushland Reserve,Swan Hill Surrounds,3544.0
Barrakee Bushland Reserve,Buloke,3393.0
Port Phillip Bay Coastal Reserve (COM),Point Nepean,3941.0
Jeffcott I144 Bushland Reserve,Buloke,3393.0
Euroa I49 Bushland Reserve,Euroa,
Lumeah Swamp Wildlife Reserve (hunting),West Wimmera,3318.0
Jindivick G77 Bushland Reserve,Drouin,
Hardings Swamp (Tarranginnie Swamp) Wildlife Reserve (hunting),Nhill Region,3414.0
Lake Buninjon Wildlife Reserve (hunting),Ararat Surrounds,3373.0
Bendigo Regional Park,Maiden Gully,
Coliban I9 Bushland Reserve,Daylesford,3363.0
Wagant I37 Bushland Reserve,Mildura Surrounds,3489.0
Drouin West G83 Bushland Reserve,Drouin,
North Western Port Nature Conservation Reserve,Pearcedale - Tooradin,3980.0
Ginquam I5 Bushland Reserve,Mildura Surrounds,3489.0
Beechworth Historic Park,Beechworth,3747.0
Mount Wills Historic Area,Bruthen - Omeo,3699.0
Otway Forest Park,Otway,3233.0
Freshwater Lake Reserve,Southern Grampians,3294.0
Kiata Flora and Fauna Reserve,Nhill Region,3414.0
Greater Bendigo National Park,Strathfieldsaye,
Barrakee Bushland Reserve,Buloke,3393.0
Avon Plains (Hancocks and Walkers Lake) Wildlife Reserve (hunting),St Arnaud,3465.0
Brisbane Ranges National Park,Golden Plains - South,3328.0
Glendhu Historic & Cultural Features Res.,Avoca,3467.0
Buchan Bushland Reserve,Orbost,3885.0
Patterson River,Carrum - Patterson Lakes,3197.0
Mortlake N16 Lake Reserve,Moyne - East,3265.0
Grampians National Park,Stawell,3374.0
North Western Port Nature Conservation Reserve,Pearcedale - Tooradin,3980.0
Port Fairy Coastal Reserve,Moyne - West,3275.0
Clydebank Morass Wildlife Reserve (hunting),Longford - Loch Sport,3852.0
